GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
08/16/2017,LINK-021213,40.68457,-73.98098,Brooklyn,C2-4,33,302,500 Pacific Street,3rd AVENUE,4th AVENUE,SE,11217,Atlantic Avenue,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82186,12/14/2017,02/12/2018,,,3001920001,3003900,"(40.68457088, -73.98097669)"
09/07/2017,LINK-021217,40.67830,-73.96852,Brooklyn,C1-4,35,308,631 VANDERBILT AVENUE,ST MARKS AVENUE,PROSPECT PLACE,SE,11238,,No,Y,Prospect Heights,82289,12/01/2017,01/30/2018,,,3011520011,3020500,"(40.67829848, -73.96852043)"
08/30/2017,LINK-021218,40.70139,-73.93871,Brooklyn,C2-4,34,304,832 FLUSHING AVENUE,Garden Street,Beaver Street,MIDBLOCK,11206,,No,N,Bushwick South,82265,11/16/2017,01/15/2018,,3071809,3031370056,3038900,"(40.70139018, -73.93871378)"
10/02/2017,LINK-021219,40.68988,-73.99338,Brooklyn,C2-3,39,306,194 Atlantic Avenue,Court St,Clinton St,MIDBLOCK,11201,Atlantic Avenue,Yes,Y,Carroll Gardens-Columbia Street-Red Hook,82402,12/05/2017,02/03/2018,,,3002867505,3004500,"(40.68987845949279, -73.99337704828707)"
09/07/2017,LINK-021223,40.70320,-73.92596,Brooklyn,C1-3,34,304,217 KNICKERBOCKER AVENUE,TROUTMAN STREET,STARR STREET,NE,11237,,No,N,Bushwick North,82304,11/16/2017,01/15/2018,,3072541,3031870008,3042700,"(40.70319909, -73.92596317)"
08/25/2017,LINK-021226,40.67697,-73.96922,Brooklyn,C1-4,35,308,646 VANDERBILT AVENUE,PARK PLACE,PROSPECT PLACE,NW,11238,,No,N,Prospect Heights,82245,12/01/2017,01/30/2018,,,3011580047,3016300,"(40.67696646, -73.9692235)"
08/16/2017,LINK-021235,40.68330,-73.97887,Brooklyn,C2-4,39,306,35 4th AVENUE,DEAN STREET,PACIFIC STREET,NE,11217,,No,N,Park Slope-Gowanus,82187,12/05/2017,02/03/2018,,,3009280001,3012901,"(40.68330374, -73.97887138)"
08/16/2017,LINK-021237,40.68415,-73.98141,Brooklyn,C2-4,33,302,71 3rd AVENUE,DEAN STREET,PACIFIC STREET,NE,11217,,No,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82188,12/14/2017,02/12/2018,,,3001920001,3003900,"(40.68414846, -73.98141352)"
10/02/2017,LINK-021254,40.68926,-73.99134,Brooklyn,C2-4,33,302,238 Atlantic Avenue,Boerum Pl,Court St,MIDBLOCK,11201,Atlantic Avenue,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82341,12/14/2017,02/12/2018,,,3002787501,3004300,"(40.68925831546948, -73.99133716162225)"
10/11/2017,LINK-021258,40.69275,-73.99215,Brooklyn,C5-2A,33,302,183 Joralemon Street,Court St,Clinton St,MIDBLOCK,11201,,No,N,Brooklyn Heights-Cobble Hill,82427,12/14/2017,02/12/2018,,,3002550012,3000900,"(40.69275192279502, -73.99215159315122)"
10/02/2017,LINK-021260,40.69226,-73.98953,Brooklyn,C5-4,33,302,250 Joralemon St,Brooklyn Bridge Blvd,Court Street,SW,11201,Court-Livingston-Schermerhorn,Yes,N,Brooklyn Heights-Cobble Hill,82346,12/14/2017,02/12/2018,,,3002660050,3000900,"(40.69225533, -73.98953396)"
10/11/2017,LINK-021261,40.69286,-73.99289,Brooklyn,C5-2A,33,302,165 JORALEMON STREET,CLINTON STREET,COURT STREET,NE,11201,,No,N,Brooklyn Heights-Cobble Hill,82424,12/14/2017,02/12/2018,,,3002550020,3000900,"(40.69285865716534, -73.99288740144374)"
10/02/2017,LINK-021269,40.68808,-73.98411,Brooklyn,C6-1,33,302,250 Schermerhorn Street,Schermerhorn St,State Street,SW,11217,Court-Livingston-Schermerhorn,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82357,12/14/2017,02/12/2018,,,3001710026,3004100,"(40.68807515184572, -73.9841080809262)"
08/21/2017,LINK-021270,40.69848,-73.93775,Brooklyn,C8-2,34,304,871 BROADWAY,LEWIS AVENUE,BELVEDERE STREET,SE,11206,,No,N,Bushwick South,82215,11/16/2017,01/15/2018,,3256442,3031350005,3038900,"(40.69848325, -73.93775028)"
10/02/2017,LINK-021273,40.69470,-73.98322,Brooklyn,C6-4,35,302,325 Gold St,Johnson Street,Flatbush Avenue Ext.,SE,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82345,12/14/2017,02/12/2018,,,3020490008,3001500,"(40.69469701910375, -73.983220041045)"
09/25/2017,LINK-021275,40.68985,-73.98293,Brooklyn,C6-4.5,33,302,4 BOND STREET,Fulton Street,Dekalb Avenue,NW,11201,Fulton Mall,Yes,N,Fort Greene,82331,12/14/2017,02/12/2018,,,3001490034,3003300,"(40.689845885181434, -73.9829311889896)"
09/25/2017,LINK-021276,40.68990,-73.98213,Brooklyn,C6-4.5,33,302,14 Dekalb Ave,Flatbush Ave,Bond Ave,MIDBLOCK,11201,Fulton Mall,Yes,N,Fort Greene,82332,12/14/2017,02/12/2018,,,3001490026,3003300,"(40.68990178, -73.98212603)"
10/02/2017,LINK-021281,40.69571,-73.98328,Brooklyn,C6-4,35,302,280 Gold Street,Tillary St,Johnson St,SW,11201,,No,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82355,12/14/2017,02/12/2018,,,3001330017,3001500,"(40.69571266661516, -73.9832813903821)"
08/21/2017,LINK-021282,40.69965,-73.93987,Brooklyn,C4-3,34,304,815 BROADWAY,FAYETTE STREET,ELLERY STREET,NE,11206,,No,N,Bushwick South,82216,11/16/2017,01/15/2018,,3071688,3031320003,3038900,"(40.69964667, -73.93987079)"
08/16/2017,LINK-021283,40.67495,-73.98784,Brooklyn,C8-2,39,306,232 3 STREET,3rd AVENUE,4th AVENUE,SE,11215,,No,N,Park Slope-Gowanus,82190,12/05/2017,02/03/2018,,,3009800008,3011900,"(40.674946813274765, -73.98783775204322)"
09/25/2017,LINK-021312,40.69225,-73.98428,Brooklyn,C6-4,33,302,199 DUFFIELD STREET,MYRTLE AVENUE,WILLOUGHBY STREET,NE,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82335,12/14/2017,02/12/2018,,,3020590001,3001500,"(40.692252205356496, -73.9842783740267)"
09/25/2017,LINK-021313,40.69215,-73.98354,Brooklyn,C6-4,33,302,135 WILLOUGHBY STREET,ALBEE SQUARE WEST,DUFFIELD STREET,NW,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82336,12/14/2017,02/12/2018,,,3020590001,3001500,"(40.69215058, -73.98353698)"
09/25/2017,LINK-021315,40.69471,-73.98401,Brooklyn,C6-1A,33,302,116 DUFFIELD STREET Enter Secondary Address as (162 FLATBUSH AVENUE EXT.),Tech Place,Myrtle Avenue,SW,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82337,12/14/2017,02/12/2018,,,3020470011,3001500,"(40.69471213885874, -73.98401373092622)"
