CB Link ID,Link Site ID,Street Address,Cross Street 1,Cross Street 2,Corner_location,Borough,Zip Code,Community Board,Council District,Site in BID,BID,Zoning,Neighborhood Tabulation Area (NTA),Census Tract (CT),Building Identification Number (BIN),Borough-Block-Lot (BBL),Latitude,Longitude,DoITT NTP Issued (A),DoITT NTP Expiration Date,In Progress/Suspended,Project Status,Location 1
LINK-014475,qu-05-126930,59-41 MYRTLE AVENUE,60 STREET,STEPHEN STREET,NW,Queens,11385,405,30,Yes,Myrtle Avenue Queens,C1-4,Ridgewood,4058300,4084150,4035090061,40.700574,-73.898507,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70057428, -73.8985072)"
LINK-014617,qu-05-126614,61-01 MYRTLE AVENUE,MYRTLE AVENUE,71 AVENUE,MIDBLOCK,Queens,11385,405,30,No,,C2-4,Ridgewood,4058100,4088353,4036370052,40.700947,-73.894488,02/23/2018 12:00:00 AM,08/23/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70094656, -73.8944877)"
LINK-000001,bk-01-126659,2 GRAHAM AVENUE,LAWTON STREET,HART STREET,SEC,Brooklyn,11206,301,34,Yes,Graham Avenue,C4-3,East Williamsburg,3049100,3326061,3031270001,40.700990,-73.942090,02/08/2018 12:00:00 AM,08/08/2018 12:00:00 AM,Installed,Link Active!,"(40.70099, -73.94209)"
LINK-001117,qu-09-138287,87-06 126 STREET,JAMAICA AVENUE,89 AVENUE,SWC,Queens,11418,409,29,No,,C2-4,Richmond Hill,4014201,4196127,4093340010,40.701040,-73.824719,02/08/2018 12:00:00 AM,08/08/2018 12:00:00 AM,Installed,Link Pending Activation,"(40.70104, -73.824719)"
LINK-013640,qu-05-126932,65-54 MYRTLE AVENUE,65 PLACE,66 STREET,NW,Queens,11385,405,30,No,,C1-3,Glendale,4062900,4090141,4036980028,40.701233,-73.888722,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70123303, -73.88872244)"
LINK-010568,qu-05-144575,66-27 MYRTLE AVENUE,66 PLACE,67 STREET,MIDBLOCK,Queens,11385,405,30,No,,C2-3,Glendale,4062700,4089384,4036790041,40.701469,-73.887269,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70146886, -73.88726886)"
LINK-010573,qu-05-140194,67-29 MYRTLE AVENUE,67 PLACE,67 PLACE,NE,Queens,11385,405,30,No,,C1-3,Glendale,4062700,4089489,4036810043,40.701623,-73.885420,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70162336, -73.88542044)"
LINK-012024,qu-05-126933,68-20 MYRTLE AVENUE,68 STREET,68 PLACE,NW,Queens,11385,405,30,No,,C1-3,Glendale,4062900,4090330,4037030007,40.701630,-73.883997,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70162961, -73.88399715)"
LINK-014127,bk-04-140109,815 HART STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,NW,Brooklyn,11237,304,34,No,,C1-3,Bushwick North,3042900,3073199,3032200001,40.701671,-73.923069,01/17/2018 12:00:00 AM,07/17/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70167147, -73.92306875)"
LINK-021134,bk-01-GF33198,5 LEONARD STREET,BROADWAY,MOORE STREET,NE,Brooklyn,11206,301,34,No,,C4-3,East Williamsburg,3049100,3071500,3031040001,40.703077,-73.945802,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70307684, -73.94580166)"
LINK-012505,mn-01-122991,1 PEARL STREET,WHITEHALL STREET,STATE STREET,NW,Manhattan,10004,101,1,Yes,Alliance for Downtown NY,C5-5,Battery Park City-Lower Manhattan,1000900,,1000090029,40.703142,-74.013286,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70314187, -74.01328627)"
LINK-021106,bk-01-GF33170,574 BROADWAY,LORIMER STREET,WALTON STREET,MIDBLOCK,Brooklyn,11206,301,33,No,,R6,South Williamsburg,3050900,3061334,3022430001,40.704071,-73.948045,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70407101, -73.94804509)"
